Title,Year,Genre,Origin,Director,Star
A Beautiful Mind,2001,Drama,USA,Ron Howard,Russell Crowe
"Lock, Stock and Two Smoking Barrels",1998,Comedy,UK,Guy Ritchie,Jason Flemyng
Casino,1995,Drama,France,Martin Scorsese,Robert De Niro
"Three Billboards Outside Ebbing, Missouri",2017,Drama,USA,Martin McDonagh,Frances McDormand
On the Waterfront,1954,Drama,USA,Elia Kazan,Marlon Brando
Det sjunde inseglet,1957,Drama,Sweden,Ingmar Bergman,Max von Sydow
Inside Out,2015,Comedy,USA,Pete Docter,Amy Poehler
The Elephant Man,1980,Drama,USA,David Lynch,Anthony Hopkins
Room,2015,Drama,Canada,Lenny Abrahamson,Brie Larson
The Wolf of Wall Street,2013,Drama,USA,Martin Scorsese,Leonardo DiCaprio
Mr. Smith Goes to Washington,1939,Drama,USA,Frank Capra,James Stewart
V for Vendetta,2005,Drama,Germany,James McTeigue,Hugo Weaving
Warrior,2011,Drama,USA,Gavin O'Connor,Andrew Koji
Blade Runner,1982,Thriller,Hong Kong,Ridley Scott,Harrison Ford
Dial M for Murder,1954,Thriller,USA,Alfred Hitchcock,Ray Milland
Smultronstället,1957,Romance,Sweden,Ingmar Bergman,Victor Sjöström
The General,1926,Comedy,USA,Clyde Bruckman,Buster Keaton
No Country for Old Men,2007,Drama,USA,Ethan Coen,Tommy Lee Jones
Trainspotting,1996,Drama,UK,Danny Boyle,Ewan McGregor
There Will Be Blood,2007,Drama,USA,Paul Thomas Anderson,Daniel Day-Lewis
The Sixth Sense,1999,Drama,USA,M. Night Shyamalan,Bruce Willis
Gone with the Wind,1939,War,USA,Victor Fleming,Clark Gable
The Thing,1982,Horror,USA,John Carpenter,Kurt Russell
Fargo,1996,Drama,USA,Joel Coen,William H. Macy
Gran Torino,2008,Drama,USA,Clint Eastwood,Clint Eastwood
Roma ,2018,Drama,Mexico,Alfonso Cuarón,Yalitza Aparicio
The Deer Hunter,1978,Drama,USA,Michael Cimino,Robert De Niro
Finding Nemo,2003,Adventure,USA,Andrew Stanton,Albert Brooks
Idi i smotri,1985,Drama,Soviet Union,Elem Klimov,Aleksey Kravchenko
The Big Lebowski,1998,Comedy,USA,Joel Coen,Jeff Bridges
Shutter Island,2010,Thriller,USA,Martin Scorsese,Leonardo DiCaprio
Sherlock Jr.,1924,Romance,USA,Buster Keaton,Buster Keaton
Kill Bill: Vol. 1,2003,Action,USA,Quentin Tarantino,Uma Thurman
Cool Hand Luke,1967,Drama,USA,Stuart Rosenberg,Paul Newman
Rebecca,1940,Thriller,USA,Alfred Hitchcock,Laurence Olivier
Tôkyô monogatari,1953,Drama,Japan,Yasujirô Ozu,Chishû Ryû
Mary and Max,2009,Drama,Australia,Adam Elliot,Toni Collette
Hacksaw Ridge,2016,Drama,USA,Mel Gibson,Andrew Garfield
Gone Girl,2014,Thriller,USA,David Fincher,Ben Affleck
How to Train Your Dragon,2010,Comedy,USA,Dean DeBlois,Jay Baruchel
Sunrise: A Song of Two Humans,1927,Romance,USA,F.W. Murnau,George O'Brien
Relatos salvajes,2014,Drama,Argentina,Damián Szifron,Darío Grandinetti
Jurassic Park,1993,Adventure,USA,Steven Spielberg,Sam Neill
Into the Wild,2007,Drama,USA,Sean Penn,Emile Hirsch
Life of Brian,1979,Comedy,UK,Terry Jones,Graham Chapman
In the Name of the Father,1993,Drama,UK,Jim Sheridan,Daniel Day-Lewis
The Truman Show,1998,Drama,USA,Peter Weir,Jim Carrey
The Grand Budapest Hotel,2014,Drama,USA,Wes Anderson,Ralph Fiennes
Platoon,1986,Drama,USA,Oliver Stone,Charlie Sheen
Stand by Me,1986,Drama,USA,Rob Reiner,Wil Wheaton
It Happened One Night,1934,Comedy,USA,Frank Capra,Clark Gable
Eskiya ,1996,Drama,Turkey,Yavuz Turgul,Þener Þen
Network,1976,Drama,USA,Sidney Lumet,Faye Dunaway
Stalker,1979,Drama,Soviet Union,Andrei Tarkovsky,Alisa Freyndlikh
